English,South Azerbaijani,Evaluation,Fine-grained evaluation,Error severity,Corrected South Azerbaijani translation
"Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism.",کریستوفرگارسیاکیلسانجلسپلیسادارهسینسخنگوسدیددیکیمشکوکمجرمکیشیمجوزسیزبیریرهوارداولماقاگورهبازجوییالورواونونگناهیخرابلاماخدیری.,,,,
"The sign was not physically damaged; the modification was done using black tarpaulins decorated with signs of peace and heart to alter the ""O"" to read lowercase ""e"".","علامتخراباولمامشدی؛تغییربیربرزنتینتوسطیننکیقلبننصلحنشانهسیننتزئینالموشدی،انجاماولدیتا""""Oحرفی""e""اخونا.",,,,
"Red tide is caused by a higher than normal concentration of Karenia brevis, a naturally-occurring single-celled marine organism.",قزمزیخیزابکارنیابرویسنرمالدانچوختراکمیندلیلنهایجاداولار. کارنیابرویسبیرطبیعیاتفاقدوشنتکسلولیدنیزارگانیسمیدی.,,,,
"Natural factors can intersect to produce ideal conditions, allowing this algae to increase in number dramatically.",طبیعیعامللرالیهبوللرتقاطعالسنریننرتاایدهالشرایطایجادالسینتابوجلبکنتعدادیچوخچوخالا.,,,,
The algae produces a neurotoxin that can disable nerves in both humans and fish.,بو جلبک نوروتوکسین تولید ائلیر کی ائلیه بولر اعصابی آداملارنان بالغلاردا ایشدن سالا.,,,,
Fish often die because of the high concentrations of the toxin in the waters.,بالغلارچوخوقتلرسودازهرینچوخاولماقناگورهاوللر.,,,,
Humans can be affected by breathing affected water taken into the air by wind and waves.,اداملارممکندیالودهسونننفسکشماقیننکییلیننشپهلریننهوایهواردالوپ،الودهالسونناار.,,,,
"At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .",حارهایگردبادگونو،کیآدنمالدیولیدیلیندهبیرجعبهخرمااغاجینیرپاقلاریناوسدوننگیوپلار،لاپاوجنداادامهسیاولانیللرهیتیشدیکیسرعتیهرساعاتدا240 کیلومتر( هرساعاتدا149 مایل) دی.,,,,
"By early today, winds were around 83 km/h, and it was expect to keep weakening.",بوگونسحرچایللرینسرعتیهرساعاتدا83 کیلومتردیوقراردیضعیفلشه.,,,,
"On Wednesday, the United States' National Basketball Association (NBA) suspended its professional basketball season due to concerns regarding COVID-19.",چهارشنبهلرایالاتمتحدهنینملیبسکتبالانجمنی(NBA) حرفهایبسکتبالتیمینکووید19 گورهنیرانچلخلارناوچوندالیهسالدی.,,,,
The NBA's decision followed a Utah Jazz player testing positive for the COVID-19 virus.,اِنبیاِیاینتصمیمیبیراوتااهلیاولانجازسازچالاننکووید19 تستینمثبتاولماسنانسورااتفاقدوشدی.,,,,
"""Based on this fossil, that means the split is much earlier than has been anticipated by the molecular evidence.",بوفسیلگورسدیرکیآیرلخاونانکیمولکولیشواهدگورسدر،قاباخاتفاقدوشموشدی.,,,,
"That means everything has to be put back,"" said researcher at the Rift Valley Research Service in Ethiopia and a co-author of the study, Berhane Asfaw.","برهیناسفاوکیریفتولیتحقیقسازمانندااتیوپیدهبیرمحققدیوتحقیقنمشترکنویسندهسیدی،ددی ⁣""بونونمعنیسیبودیکیگرههرزادیدالیهچکاخ. """,,,,
"Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.",ایندیهجانAOLایالاتمتحدههدهگستردهاستفادهاولماقناگورهالیهبولوIM بازارنائوزینسرعتیننحرکتورهوتوسعهوره.,,,,
"With this arrangement in place, this freedom might end.",ایهبوایشانجاماولا،بوازادلقممکندیبینننگده.,,,,
The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.,یاهونانمایکروسافتنخدماتناناستفادهالینکاربرلرینتعدادبیربیریناوسدوندهAOLاینکاربرلرینتعدادیننرقابتالیجاخ.,,,,
The Northern Rock bank had been nationalised in 2008 following the revelation that the company had received emergency support from the UK Government.,نُرسرنراکبانگی2008 دهاونینسوراکیمعلوماولدیبوشرکتانگلیسیندولتنناضطراریمالیکمهالپدی،دولتیاولدی.,,,,
Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.,نرسرنراکاوناگورهکی2007 ریسکلریواملارنبحراننادچارالموشدیمالیکمیهنیازیواریدی.,,,,
Sir Richard Branson's Virgin Group had a bid for the bank rejected prior to the bank’s nationalisation.,آقایریچاردبرنسوننVirgin Groupایبانگابیرقیمتپیشنهادورمشدیکیبانگندولتیاولماقنانقاباخرداولدی.,,,,
"In 2010, while nationalised, the current high street bank Northern Rock plc was split from the ‘bad bank’, Northern Rock (Asset Management).","2010 دهدولتیاولاننانسورافعلیهایخیابانندااولاننرسرنراکسهامیعامشرکتینبانگینرسرنراک""پیسبانگ"" (داراییمدیریتالین) دنآیرلدی.",,,,
"Virgin have only purchased the ‘good bank’ of Northern Rock, not the asset management company.","Virginفقطنرسونراکن""یاخجیبانگن"" الماشدیوداراییمدیریتالینشرکتیالمامشدی.",,,,
This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth.,بوتاریخدهبشمیندفعهدیکیاداملاربیرشیگروپلرکهمعلومالوپشیمیاییلحاظدانمریخنموادناندیکییرهدوشوپ.,,,,
"Out of the approximately 24,000 known meteorites to have fallen to Earth, only about 34 have been verified to be martian in origin.",۲۴۰۰۰ شهاب سنگدن تاننمش شهاب سنگدن کی یره دشوپدی فقط ۳۴ داناسی تایید الوپ کی مریخدن دوشوپلر.,,,,
Fifteen of these rocks are attributed to the meteorite shower last July.,دیلپ کی بو داشلار اُن بشی گچن جولای شهاب سنگ بارشنده یره دوشوپلر.,,,,
"Some of the rocks, which are very rare on Earth, are being sold from US$11,000 to $22,500 per ounce, which is about ten times more than the cost of gold.",بویردهنادراولانداشلارنبعضیسینهراونسین11000 دن22500 دلاراجانساتللارکیقزلنقیمتینناُنبرابرچوخدی.,,,,
"Following the race, Keselowski remains the Drivers' Championship leader with 2,250 points.",مابقهدنسونراکسلووسکی2250 امتیازنانسوروجیلرینقهرمانینبرندهسیقالدی.,,,,
"Seven points behind, Johnson is second with 2,243.",جانسوننامتیازییتدیدانااونانآزدیو2243 دی.,,,,
"In third, Hamlin is twenty points behind, but five ahead of Bowyer. Kahne and Truex, Jr. are fifth and sixth respectively with 2,220 and 2,207 points.",اوچومونجینفرهاملینایمیامیازدالدی،امابویردنبشامتیازقاباخدی. کانهننتروئکسجرترتیبنن2220 امتیازنانبشمینجیو2207 امتیازنانآلتیمینجیدیلر.,,,,
"Stewart, Gordon, Kenseth, and Harvick round out the top-ten positions for the Drivers' Championship with four races remaining in the season.",استوارت، گوردون، کنسس نن هارویک اون یوخاری مقاملاری سوروجیلرین قهرمانلقنا دورد مسابقه نن کی فصلده قالپ، تکمیل ائلیللر,,,,
The US Navy also said they were investigating the incident.,ایالاتمتحدهنیندریایینیروسیددیکیاولارحادثهنیبررسیالیللر.,,,,
"They also said in a statement, ""The crew is currently working to determine the best method of safely extracting the ship"".","⁣اولاربیربیانیهدهددیلرکی""گمینینخدمهسیچالشللارلاپیاخجیروشیگمینیناشیهچخاتماقناتاپسننار"".",,,,
"An Avenger class mine countermeasures ship, the ship was on its way to Puerto Princesa in Palawan.",بیرمینننمقابلهالماخگمیسیکیاونجرکلاسندیدیپالاواندا،پورتوپرینسساشهرینهگدیردی.,,,,
"It is assigned to the U.S. Navy’s Seventh Fleet and based in Sasebo, Nagasaki in Japan.",اوایالاتتحدهنینیتدیمینجیناوگانناواگذارالوپوژاپنداساسبو،ناگاساکیددی.,,,,
"The Mumbai attackers arrived via boat on Novemeber 26, 2008, bringing with them grenades, automatic weapons and hit multiple targets including the crowded Chhatrapati Shivaji Terminus railway station and the famous Taj Mahal Hotel.",بمبئییهحملهالیننر2008 نوامبرین26 سینداگمینناورایتیشدلروائوزلرینننارنجنکنناتوماتیکاسلحهلرکتمیشدلرونچههدفهچهاتراپاتیشیواجیترمینوسراهاهنایستگاهنانمشهورتاجمحلهتلنهشلیکالدیلر.,,,,
David Headley's scouting and information gathering had helped to enable the operation by the 10 gunmen from the Pakistani militant group Laskhar-e-Taiba.,دیویدهادلینیندیدهبانینناطلاعاتجمعنماقیباعثاُلدیالیهبولسننرعملیاتی10 هفتتیرکشننپاکستانیمبارزگروهیلشکرتائبدنانجامورسننر.,,,,
The attack put a huge strain on relations between India and Pakistan.,بوحملههندوستاننانپاکستاننرابطهسینچوختنشهدچارالدی.,,,,
"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.",او کی او مقامات اونن یانندیدلر تگزاسدا زندگاننق ائلیننره ددی کی هامی نن امنیتین تامین ائلماق اوچون بعضی ایشلر انجام اولوپدی,,,,
"Perry specifically said, ""There are few places in the world better equipped to meet the challenge that is posed in this case.""","پریخاصصورتدهددی""دنیاداآزیرلرواردیکیبومورددهایجاداولانچالشلریحلالماقاوچونبیزدنیاخجیتجهیزالوپلار.""",,,,
"The governor also stated, ""Today, we learned that some school aged children have been identified as having had contact with the patient.""","فرماندارددی""بوگونبیزاشیتدخکینچهمدرسهاوشاقیمریضننتماسلاریواریمش.""",,,,
"He went on to say, ""This case is serious. Rest assured that our system is working as well as it should.""","اوادامهدهددی""بوموردجدیدی. مطمئنالونکیبیزیمسیستماوقدرکیقرهیاخجیایشلیه،یاخجیایشلیر.""",,,,
"If confirmed, the find completes Allen's eight-year search for the Musashi.",ایهتاییداولا،الننسگزایلموساشیاخدارماقنباشاچاتدراجاخ.,,,,
Following seabed mapping the wreck was found using an ROV.,دنیزن کفنن نقشه بردارلق اولانان سورا، لاشه بیر اوزاخدان کنترل اولان زیردریایی دن استفاده ائلماقنان تاپلدی,,,,
"One of the world's richest people, Allen has reportedly invested much of his wealth in marine exploration and began his quest to find the Musashi out of a lifelong interest in the war.",دنیانیندولتدیاداملارنبیریالنظاهراًثروتینچوخندریاییاکتشافداسرمایهگذارلقالیپواوناگورهکیاولدنجنگهعلاقهسیواریدیموساشیاخدارماقیباشلادی.,,,,
She gained critical acclaim during her time in Atlanta and was recognized for innovative urban education.,اتلانتدااولانداچوخاونانتعریفالدیلرواونیخلاقشهریاموزشینهگورهتانیردلر.,,,,
In 2009 she was awarded the title of National Superintendent of the Year.,2009ایلیندهایلینملیرئیسنلقبیناوناورمیشدلر.,,,,
"At the time of the award, Atlanta schools had seen a large improvement on test scores.",جایزهنینزماننداامتحاننمرهلریاتلانتاننمدرسهلریندهچوخپیشرفتالمیشدلر.,,,,
"Shortly after, The Atlanta Journal-Constitution published a report showing problems with test results.",بیازسورااتلانیاقانوناساسیژورنالیبیرگزارشمنتشرالدیکینشانورردیامتحانننتیجهلریمشکلیواریدی.,,,,
"The report showed test scores had increased implausibly fast, and alleged the school internally detected problems but didn't act on the findings.",گزارشنشانوردیکیامتحاننتیجهلریغیرمعقولصورتدهتزچوخالپوادعاالدیمدرسهاوزایچیندهمشکلیمتوجهاولدیامایافتهلریناساسندابیراقدامانجامورمدی.,,,,
"Evidence thereafter indicated test papers were tampered with Hall, along with 34 other education officials, was indicted in 2013.",اوواخ شواهد گورستدی کی هال ۳۴ آیری آموزشی مسئولنان، امتحان برگه لرین دستکارخ ائلمیشدی و ۲۰۱۳ ده اولارن علیهنه اعلام جرم اولدی.,,,,
The Irish government is stressing the urgency of parliamentary legislation to rectify the situation.,ایرلندیندولتیمجلسیقانونگذارینینلازماولماقناوضعیتنجوررماقناگورهتاکیدالییر.,,,,
"""It is now important from both a public health and criminal justice perspective that the legislation be enacted as soon as possible"", said a government spokesperson.","دولتینبیرسخنگوسیددیکی⁣""ایندیعمومیساقلقوجناییعدالتلحاظنانمهمدیکیقانونهرنقدرممکندیتزاجرااولا"".",,,,
"The Health Minister expressed concern both for the welfare of individuals taking advantage of the temporary legality of the substances involved, and for drug-related convictions handed down since the now-unconstitutional changes came into effect.",ساقلقوزیریددیاواداملارنسلامتلقناکیبوموادنموقتیقانونیاولماقنانسواستفادهالیللر،ومخدرموادامربوطاولانمحکومیتلرهگورهکیبوتغییراتکیاساسیقانوننضدیدی،ایجاداولانان،صادرالوپلار،نگراندی.,,,,
Jarque was practicing during pre-season training at Coverciano in Italy earlier in the day. He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.,جارکاوگونفصلدنقاباختمریندهکانورسیانوداتمرینالیردی. اوبیرمسابقهدنقاباخکییکشنبهبلونیاتیمننقراریدیانجاماولا،تیمنهتلیندهقالردی.,,,,
He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.,اوبیرمسابقهدنقاباخکییکشنبهبلونیاتیمننقراریدیانجاماولا،تیمنهتلیندهقالردی.,,,,
The bus was headed to Six Flags St. Louis in Missouri for the band to play to a sold-out crowd.,اتوبوسمیسوریداسیکسفلگزسنتلوئیسهگتدیتاگروهاواداملاراکیاولارابلیطیتیشممیشدیاجراالسیننر.,,,,
"At 1:15 a.m. Saturday, according to witnesses, the bus was going through a green light when the car made a turn in front of it.",شاهدددیشنبهساعات1:15 دقیقهدهاتوبوسسبزچراغذانگچندهبیرماشینانونقاباقنناندندی.,,,,
"As of the night of August 9, the eye of Morakot was about seventy kilometres away from the Chinese province of Fujian.",اگوستن9 داموراکتندهانهسییتمیشکیلومتریچینیفوجیاناستاننانفاصلهسیواریدی.,,,,
The typhoon is estimated to be moving toward China at eleven kph.,حدسوورولورکیتوفانهرساعاتاُنبیرکیلومترسرعتننچینهطرفحرکتالیر.,,,,
Passengers were given water as they waited in 90(F)-degree heat.,مسافرلره سو ورلدی چون ۹۰ (فارنهایت) درجه ایسسی ده منتظر قالمشدلار.,,,,
"Fire captain Scott Kouns said, ""It was a hot day in the Santa Clara with temperatures in the 90s.","کاپیتاناولاسکاتکنوسددیکی""سانتاکلاراداهواایسسیدیوهوادرجهسی90دورهسیندیدی.",,,,
"Any length of time trapped on a roller coaster would be uncomfortable, to say the least, and it took at least an hour to get the first person off the ride.""","ادامهرمدتزمانچوخوفلکدهگیرالسهلاپآزیناراحاتاولارواولنفریچرخوفلکدناشایهگتماخلاپآزیبیرساعاتچهدی.""",,,,
"Schumacher who retired in 2006 after winning the Formula 1 championship seven times, was due to replace the injured Felipe Massa.",شوماخرکی2006 یتدیدفعهفرمول1 قهرمانیمسابقهلریندهبرندهاولماخدانسورابازنشستهالدی،قراریدییارالانمشفلیپهمساننیرنتوتا.,,,,
The Brazilian suffered a serious head injury after a crash during the 2009 Hungarian Grand Prix.,برزیللیمجارستانن2009 بیوهمسابقهسیندهتصادفالیننسونراباشیبتریارالاندی.,,,,
Massa is due to be out for at least the rest of the 2009 season.,ماساقراردیلاپآزی2009 فصلینبقیهسیندهمسابقهدهالمیه.,,,,
"Arias tested positive for a mild case of the virus, Presidential Minister Rodrigo Arias said.",رئیسجمهوریوزیریردریگوآریاسددیاریاسنتستیویروسنبیرخفیفنوعنامثبتالدی.,,,,
"The president's condition is stable, though he will be isolated at home for several days.",رئیسجمهورنوضعیتیثابتدیامااودهنچهگوننرایزولهالاجاخ.,,,,
"""Apart from the fever and a sore throat, I feel well and in good shape to carry out my work by telecommuting.",تبننبغازآرینظردهالماسامحالمیاخجدیوالیهبولرمایشمیاِودنگئورم.,,,,
"I expect to return to all my duties on Monday,"" Arias said in a statement.","اریاسبیربیانیهدهددی ⁣""منقراردیدوشنبهایشمهقیدم.""",,,,
"Felicia, once a Category 4 storm on the Saffir-Simpson Hurricane Scale, weakened to a tropical depression before dissipating Tuesday.",فلیشیاکیبیرزمانسفیر-سیمپسونتوفانمقیاسندا،4 مینجیدستهدیدیسهشنبهبینننگتماخدانقاباخبیرحارهایکمفشارهواتودهسینهتبدیلالدی.,,,,
"Its remnants produced showers across most of the islands, though as of yet, no damage or flooding has been reported.",اونون بقایاسی جزیره لرین چوخندا دولی ایجاد ائلدیلر اما ایندیه جان هش خسارت یا سیل گزارش اولمییپ.,,,,
"The precipitation, reaching 6.34 inches at a gauge on Oahu, was described as ""beneficial"".","یاغش میزانی اوآهو دا بیر مقیاس دا ۶.۳۴ اینچه یتیشدی و ""فایدالی"" توصیف اولدی.",,,,
Some of the rainfall was accompanied by thunderstorms and frequent lightning.,تندرلیتوفاننانالدرمنانیاغشنبیازینیاننداواریدی.,,,,
"The Twin Otter had been trying to land at Kokoda yesterday as Airlines PNG Flight CG4684, but had aborted once already.",توینآتردوننچالشمشدیکوکودادایرهاُتوراوPNGهواییخطنپروازیدیوشمارهسیCG4684 دی،اماقبلابیردفعهلغوالموشدی.,,,,
About ten minutes before it was due to land from its second approach it disapeared.,تقریبا اون دقیقه اونان قاباخ کی قراریدی ایکیمینجی یخین نشماقنان قاباخ ناپدید اولدی.,,,,
The crash site was located today and is so inaccessable that two policemen were dropped into the jungle in order to hike to the scene and seek survivors.,تصادفن یری بو گون معلوم اولدی و اورا یتیشماق اوقدر چتیندی کی ایکی پلیسی جنگله سالدلار تا صحنیه جان پیاده گتسیننر و دیری قالانلاری آخدارسننار.,,,,
The search had been hampered by the same bad weather that had caused the aborted landing.,الههمانپیسهواکیفرودالماقنلغواولماقناباعثالموشدی،اخدارماقنقاباقنالدی.,,,,
"According to reports, an apartment on Macbeth Street exploded due to a gas leak.",گزارشلرهگورهبیراپارتمانمکبسخیاباننداگازننشتالماقناگُرهپاتدادی.,,,,
An official with the gas company was reporting to the scene after a neighbor called about a gas leak.,بیرهمسایازنگووروپگازننشتالماقنخبرورماخدانسوراگازشرکتینمسئولیصحنیهگزارشوریردی.,,,,
"When the official arrived, the apartment exploded.",مسئولیتیشندهاپارتمانپاتدادی.,,,,
"No major injuries were reported, but at least five people on scene at the time of the explosion were treated for symptoms of shock.",شدید یارالانماق گزارش اولمادی اما لاپ آزی بش نفر کی پاتداماق زمانندا صحنه دیدیلر شوک علائمنه گوره درمان اولدولار.,,,,
No one was inside the apartment.,هشکیماپارتماننایچیندهیخیدی.,,,,
"At the time, nearly 100 residents were evacuated from the area.",اوزمانتقریبا100 نفرساکنمنطقهدنتخلیهالموشدلار.,,,,
Both golf and rugby are set to return to the Olympic Games.,گلفنانراگبیقراردیالمپیکایونلارناقیتسیننر.,,,,
"The International Olympic Committee voted to include the sports at its executive board meeting in Berlin today. Rugby, specifically rugby union, and golf were selected over five other sports to be considered to participate in the Olympics.",المپیکنبینالمللیکمیتهسیبوگوناجراییهیئتینجلسهسیندهبرلیندهبوورزشلریناضافهالماقنارایوردیلر. راگبی،مخصوصاراگبیانجمنیننگلفآیریبشورزشیناراسینانالمپیکدهشرکتالماقاوچوننظردهالندلار.,,,,
"Squash, karate and roller sports tried to get onto the Olympic program as well as baseball and softball, which were voted out of the Olympic Games in 2005.",اسکواش، کاراته، اسکیت، ورزشلری بیسبالنان سافتبالنان کی ۲۰۰۵ ده المپیک ایونلارنان حذف اولدولار، چالشدلار المپیک برنامه سینه وارد اولسوننار.,,,,
The vote must still be ratified by the full IOC at it's October meeting in Copenhagen.,کاملبینالمللیالمپیککمیتهسی(IOC) گرهراییاکتبرجلسهسیندهکپنهاگداتصویبالیه.,,,,
Not all were supportive of the inclusion of the women’s ranks.,هاممیخانملارنرتبهلرینحساباولماقیننموافقدیردی.,,,,
"2004 Olympic silver medallist Amir Khan said, ""Deep down I think women shouldn’t fight. That’s my opinion.""","2004 المپیکندهنقرهمدالگترنامیرخانددی""منفکرالیرمخانملارگرهمبارزهالمیللر. منمنظرمبودی.""",,,,
Despite his comments he said he will be supporting the British competitors at the 2012 Olympics being held in London.,علیرغمبونظرلراوددیکیانگلیسنرقابتالیننرنن2012 المپیکندهکیلندندهبرگزارالاجاخحمایتالیجاخ.,,,,
The trial took place at Birmingham Crown Court and concluded on August 3.,بو محاکمه بیرمینگام سلطنتی دادگاهندا برگزار اولدی و اگوستن اوچومونجونده گوتولدی.,,,,
"The presenter, who was arrested at the scene, denied the attack and claimed he used the pole to protect himself from bottles being thrown at him by up to thirty people.",معرفی اولان کی جرم صحنه سینده دستگیر الموشدی، حمله نی انکار الدیو ادعا الدی کی ستوننان استفاده الدی تا ازونن بانکالارن قاباقندا کی اتوز نفر اونا آتردلار، محافظت الیه.,,,,
Blake was also convicted of attempting to pervert the course of justice.,بلیک متهم اولدی کی ایسدیردی عدالتن مسیرن منحرف السین.,,,,
"The judge told Blake it was ""almost inevitable"" he was going to be sent to jail.","قاضی بلیکه ددی ""ناچار دی"" اونی زندانا یوللیه.",,,,
Dark energy is a completely invisible force that is constantly acting upon the universe.,قرننخانرژیبیرکاملاگُرسنمیننیرودیکیمداومصورتدهدنیایهتاثیرگُیر.,,,,
Its existence is known only because of its effects on the expansion of the universe.,انونوجودیفقطانونتاثیریدنیاننبیوهلشماقناگورهتشخیصورلپ.,,,,
Scientists have discovered landforms littered across the moon's surface called lobate scarps that have apparently resulted from the moon's shrinking very slowly.,دانشمندلرآیناوسدوندهاویزلیسنگشیبآدنداشکللرکشفالیپلرکیآینسطحندهپراکندهالوپکیاحتمالاآیینیواشچیچیهلشماقناگئورهایجادالوپلار.,,,,
"These scarps were found all over the moon and appear to be minimally weathered, indicating that the geologic events that created them were fairly recent.",بوسنگشیبلرآیینهریرندهواردلاروشکللریلاپآزعوضلشیپکینشانوریپاوزمینشناسیتغییرلرکیاولاریایجادالییپتقریباتازااتفاقدئوشموشدلر.,,,,
This theory contradicts the claim that the moon is completely devoid of geologic activity.,بوتئوریبوادعانیکیآینائوسدوندهاصلازمینشناسیفعالیتیئوخدیردالیر.,,,,
The man allegedly drove a three-wheeled vehicle armed with explosives into a crowd.,نظرهگلیرکیاوکیشیجمعیتنایچیندهبیراوچچرخلینقللیهوسیلهنیسروردیکیمنفجرهموادانونایچیندهواریدی.,,,,
"The man suspected of detonating the bomb was detained, after sustaining injuries from the blast.",اوکیشیکیبمبنپاتداتماقنامتهمالوپ،انفجاراگورهیارالانماقدانسورادستگیرالوپ.,,,,
"His name is still unknown to authorities, although they do know he is a member of the Uighur ethnic group.",مسئوللارهلهاُنونآدینبولموللرامابلوللرکیاواویغورنژادناندی.,,,,
"Nadia, born on September 17, 2007, by Cesarean section at a maternity clinic in Aleisk, Russia, weighed in at a massive 17 pounds 1 ounce.",نادیا کی سزارین عملنن ۲۰۰۷ سپتامبرین ۱۷ سینده بیر زایشگاه کلینیکنده الایسک، روسیه ده دنیایه گلدی ۱۷ پوند ۱ اونس وزنی وار کی چوخدی.,,,,
"""We were all simply in shock,"" the mother stated.",آنا دئدی: هامیمیز سادجه شوکدا ایدیک.,,,,
"When asked what the father said, she answered ""He couldn't say a thing - he just stood there blinking.""","اوواخکیاونانسروشدلاربابانمنهددی،اوددی""اوهچزاتدیممردی- فقطاُردادورموشدیگزووروردی.""",,,,
"""It's going to behave like water. It's transparent just the way water is.",منسواتایرفتارالیجام. اوسوکیمینشفافدی.,,,,
"So if you were standing by the shoreline, you would be able to see down to whatever pebbles or gunk that was on the bottom.",پسایهدریاکرانهسینخطندهدئورسیدزالیهبئولردیزداشلاریایاپشانکثیفمادهلریگئورسیز.,,,,
"As far as we know, there is only one planetary body that displays more dynamism than Titan, and its name is Earth,"" added Stofan.","استوفانددیاُراجانکیبیزبولرخفقطبیرسیارهوارکیتیتاندانچوخحرکتقدرتیواروانونآدیزمیندی"".",,,,
The issue started on January 1st when dozens of local residents started complaining to the Obanazawa Post Office that they hadn't received their traditional and regular New Year cards.,مشکلژانویهنین1 ننکیاوندانچهشهروندابانازاواپستادارهسیننشکایتالدلرکیسنتیننمعمولیتازاایلکارتلاریاللرنهیتشمیپ،باشلاندی.,,,,
"Yesterday, the post office released their apology to citizens and the media after discovering that the boy had hidden more than 600 postal documents, including 429 New Year postcards, which weren't delivered to their intended recipients.",دوننپستادارهسیکشفالدیکیاوغلان600 پستیسندیگیزلتمشدیکی429 تازاایلکارتپستالاکیگیرندهلرینهتحویلورلممشدلرهشاملالوردی. سوراچستادارهسیشهروندلرننرسانهلردنبشلنماقایسددی.,,,,
"The unmanned lunar orbiter Chandrayaan-1 ejected its Moon Impact Probe (MIP), which hurtled across the surface of the Moon at 1.5 kilometres per second (3000 miles per hour), and successfully crash landed near the Moon's south pole.",سرنشینی اولمین آیین مدارگراسی چاندرایان ۱ آیین تاثیرین کاوشگری نی کی هر ثانیه ده ۱.۵ کیلومتر (هر ساعاتدا ۳۰۰۰ مایل) سرعتینن حرکت ائلیردی پرتاب ائلدی و موفقیتنن آین جنوب قطبین یخیننقندا فرود گلدی,,,,
"Besides carrying three important scientific instruments, the lunar probe also carried the image of the Indian national flag, painted on all sides.",آین کاوشگری اوچ موهوم علمی وسیله دن سونرا، همده هندوستانن ملی پرچمین عکسین کی دالی قاباخ چاپ اولموشدی، حمل ائلردی.,,,,
"""Thanks for those who supported a convict like me,"" Siriporn was quoted as saying at a press conference.","یازلمشدیکیسیریپرنبیرخبرکنفرانسندادمشدی ⁣""اولاردانکیمنمکمینمجرمدنحمایتالدلرتشکرالیرم"".",,,,
"""Some may not agree but I don't care.",بعضیاداملارممکندیموافقالمیللرامامنهاهمیتییخدی.,,,,
I am happy that there are people willing to support me.,من بونان کی بعضی آداملار واردلار کی منن حمایت ائلیللر سیونرم.,,,,
"Since Pakistani independence from British rule in 1947, the Pakistani President has appointed ""Political Agents"" to govern FATA, who exercise near-complete autonomous control over the areas.","پاکستان1947 دهانگلیسینحکئمتیننمستقلاُلانانپاکستاننرئیسجمهوریFATA(فدرالقبیلهایمنطقهلر) ده""سیاسینماینده""تعیینالییپکیمنطقهایتقریباکاملامستقلصورتدهکنترلالیللر.",,,,
These agents are responsible for providing government and judicial services under Article 247 of the Pakistani Constitution.,بونمایندهلرپاکستانناساسیقانونین247 مادهسینناساسندامسئولیتلریواردولتیوقضاییخدماتورسیننر.,,,,
"A hostel collapsed in Mecca, the holy city of Islam at about 10 o'clock this morning local time.",سحرچا تقریبا ساعات ۱۰ دا محلی وقته بیر هتل مکه ده کی اسلامن مقدس شهریدی، ایچینه تکولدی.,,,,
The building housed a number of pilgrims who came to visit the holy city at the eve of hajj pilgrimage.,بوساختماندانچهزائرقالردلارکهحجزیارتینگجهسیندهبومقدسشهرینزیارتالماقناگلمیشدلر.,,,,
The hostel's guests were mostly citizens of the United Arab Emirates.,هتلنمسافرلرینچخیعربیمتحدهاماراتنشهروندلریدیلر.,,,,
"The death toll is at least 15, a figure which is expected to rise.",اُلیلرینتعدادیلاپآزی15 دیکیانتظارگدرچوخالا.,,,,
"Leonov, also known as ""cosmonaut No. 11"", was part of the Soviet Union's original team of cosmonauts.","لنووکیاونا""11 شمارهسیکیهاننورد""دیللر،شورویججمهوریلارناتحادیهسیناصلیکیهاننوردلرینتیمننیدی.",,,,
"On March 18, 1965, he performed the first manned extravehicular activity (EVA), or ""spacewalk"", remaining alone outside the spacecraft for just over twelve minutes.","⁣او1965 مارسن18 ایندهاولمینجیسرنشینلیناوداناشیهفعالیت(EVA) یا""فضاداپیادهرویالماقی""انجاموردیکیاُنایکیدقیقهدنچخفضاییسفینهنیناشیندهقالدی.",,,,
"He received the ""Hero of the Soviet Union"", the Soviet Union's highest honor, for his work.","ائوبوایشینهگئوره""شورویننقهرمانن""الهگتدیکیشروریاتحادیهسینلاپیوخاریافتخاریدی.",,,,
"Ten years later, he led the Soviet part of the Apollo–Soyuz mission symbolizing that the Space Race was over.",اُنایلسُرااواپولو-سایوزماموریتنشورویبخشینانجاموردیکیبونیگرسدردیکیفضاییمسابقهقتولوپدی.,,,,
"She said, ""There is no intelligence to suggest that an attack is expected imminently.","اوددی""هشخبرنشانورمرکیحتمابیرحملهاتفاقدئوشجاخ.",,,,
"However, the reduction of the threat level to severe does not mean the overall threat has gone away.""","اماخطریندرجهسینشدیدهکاهشورماقبومعنیهدییرکیخطرکلابینننگدپ.""",,,,
