English,Jinghpaw,Evaluation,Fine-grained evaluation,Error severity,Corrected Jinghpaw translation
"The unmanned lunar orbiter Chandrayaan-1 ejected its Moon Impact Probe (MIP), which hurtled across the surface of the Moon at 1.5 kilometres per second (3000 miles per hour), and successfully crash landed near the Moon's south pole.","Masha nmai galaw ai orbiter Chandrayaan-1 gaw shi a Moon Impact Probe (MIP) hpe ndang kau ai, dai gaw shata hta 1.5 kilometres per second (3000 mile per hour) hte sa dik hkrat wa ai ngut nna shata a dingdung pole makau kaw hkrat yu sai.",,,,
"Besides carrying three important scientific instruments, the lunar probe also carried the image of the Indian national flag, painted on all sides.","Bai nna ahkyak ai hpungtang hpaji hte seng ai shadawn hkingrai masum jai lang yu yang, lunar sakse gaw maga shagu de na Kala myu sha dawng hkawn a sumla hta mung mu lu rawng ai.",,,,
"Thanks for those who supported a convict like me, Siriporn was quoted as saying at a press conference.","Shiga sanglang hpawng langai kaw Siriporn hpe la kap nna tsun taw ai lam gaw, ""ngai zawn re bawng masha hpe madi shadaw lai wa ai ni hpe chyeju dum ai lam re.""",,,,
Some may not agree but I don't care.,Nkau mi gaw myit nhkrum na re raitim ngai ahkyak nda n-ngai.,,,,
I am happy that there are people willing to support me.,Ngai hpe madi shadaw mayu ai masha ni nga ai majaw ngai myit pyaw ai.,,,,
"Since Pakistani independence from British rule in 1947, the Pakistani President has appointed Political Agents"" to govern FATA, who exercise near-complete autonomous control over the areas.","Shaning 1947 kaw British ni up hkang ai kata kaw na Pakistan ni shang lawt lu hpang kaw na gaw, Pakistan Gumsan magam gaw ""Mung masa dat kasa ni hpe"" ginra ni hpe madu hku na up hkang taw FATA hpe up hkang na matu shatsam dat ai.",,,,
These agents are responsible for providing government and judicial services under Article 247 of the Pakistani Constitution.,Ndai dat kasa ni gaw Pakistan mungdan gaw da tara a daw kaji 247 npu na asuya hte tara na matu lit nga ai.,,,,
"A hostel collapsed in Mecca, the holy city of Islam at about 10 o'clock this morning local time.","Islam ni a chyoi pra ai mare kaba, Mecca na manam jarawp langai gaw buga ten jahpawt hkying 10 daram hta run hkrat mat ai.",,,,
The building housed a number of pilgrims who came to visit the holy city at the eve of hajj pilgrimage.,Dai nta htingtsip gaw hajj pilgrimage kaw na chyoi pra ai mare de nawku na matu du sa ai bu hkawm ai ni hpe nga shara jaw da ai.,,,,
The hostel's guests were mostly citizens of the United Arab Emirates.,Ndai manam jarawp kaw na manam law malawng gaw United Arab Emirates mungdan kaw na masha ni re.,,,,
"The death toll is at least 15, a figure which is expected to rise.","Si hkrung si htan hkrum ai gaw yawm dik 15 re, ruhkum ndai hta grai law na re ngu myit mada ai.",,,,
"Leonov, also known as ""cosmonaut No. 11"", was part of the Soviet Union's original team of cosmonauts.","Leonov, ""cosmonaut No. 11"" ngu chye da ai gaw Soviet Uhpung a cosmonaut a mi na hpung a daw chyen re.",,,,
"On March 18, 1965, he performed the first manned extravehicular activity (EVA), or ""spacewalk"", remaining alone outside the spacecraft for just over twelve minutes.","1965 ning na Wut shata 18 ya shani hta shi a shawng jahtum ""EVA"" lamang shing nrai, lamu hpungtang kaw langai hkrai hkawm sa ai lam hpe minit shi lahkawng jan hkra galaw lai wa sai.",,,,
"He received the ""Hero of the Soviet Union"", the Soviet Union's highest honor, for his work.",Shi gaw Soviet Union kaw na madan tsaw dik Hero of the Soviet Union hpe shi bungli a majaw lu wa ai.,,,,
"Ten years later, he led the Soviet part of the Apollo–Soyuz mission symbolizing that the Space Race was over.","Shi ning na ai hpang, she gaw Apollo-Soyuz lit la lamang na Soviet daw hpe masat dingsat let Lamu ganghkau Gashun ai lam htum sai ngu woi awn mat ai.",,,,
"She said, ""There is no intelligence to suggest that an attack is expected imminently.","Shi tsun ai gaw, ""Gasat gala lam gaw du wa na re ngu myit mada taw na hpe hpaji jaw na matu hpaji ngu gaw nnga ai.",,,,
"However, the reduction of the threat level to severe does not mean the overall threat has gone away.""","Kaning raitim, ndai jahkrit shama hkrum ai lam loi yawm mat ai gaw ndai lam nnga mat ai nre ai hpe chye ra nga ai.""",,,,
"While authorities are unsure of the credibility of the threat, the Maryland Transportaion Authority made the closure with the urging of the FBI.","Daru magam lu ai uhpung ni gaw jahkrit shama ai lam a shimlum lam hpe hkrat nchye lu shi ai shaloi, Maryland htaw wa htaw sa hte seng nna darum magam lu ai uhpung ni gaw FBI a madi shadaw n-gun hte ni htep sa wa lu hkra galaw lai wa sai.",,,,
Dump trucks were used to block tube entrances and assistance of 80 police were on hand to direct motorists to detours.,Mawdaw jahten ni hpe gaw shangna tingrat ni hpe pat na matu lang ai rai nna balik 80 daram gaw kaga lam hku sa lu na matu garum ya nga ai.,,,,
"There were no heavy traffic delays reported on the beltway, the city's alternate route.",Mare a kaga lam rai nga ai Beltway maga de gaw mawdaw htinglet na matu aten na ai lam n nga ai hpe chye lu ai.,,,,
Nigeria previously announced it planned to join the AfCFTA in the week leading up to the summit.,Nigeria mungdan gaw du na bat hta galaw hkyen ai AfCFTA zuphpawng de shang lu na matu hkyen lajang lai wa ai lam hpe ndau shana lai wa sai.,,,,
AU trade and industry commissioner Albert Muchanga announced Benin was to join.,AU hpaga yumga lam hte jak rung a komishin salang Albert Muchanga gaw Benin mungdan mung ndai hpung kaw lawm wa na re ngu shana dat ai.,,,,
"The commissioner said, ""We haven't yet agreed on rules of origin and tariff con[c]essions, but the framework we have is enough to start trading on July 1, 2020"".","Ginwang du wa tsun ai gaw "" ritkawp ni hpe anhte myit nhkrum shi ga ai, raitim anhte kaw nga ai hkrang nhprang gaw 2020 July shata 1 ya shani hta bungli galaw hpang na matu mai nga ai.""",,,,
"The station maintained its attitude, despite the loss of a gyroscope earlier in the space station mission, until the end of the spacewalk.","Dabang gaw shawng daw de lamu hpungtang laksan magam gun ai hpung dabang kaw nbungli n leng lau hkra makawp ya ai hkringrai shamat kau ai raitimung, lamu hpungtang hkawm sa ai lam ngut du hkra shi a sat lawat hpe hkang zing lai wa sai re.",,,,
Chiao and Sharipov reported being a safe distance from the attitude adjustment thrusters.,Chiao hte Sharipov gaw jet jak kanawng n-gun shapraw jak garam lajang ai kaw na shim lum nna tsan ai share kaw nga nga ai lam hpe shiga shana lai wa sai re.,,,,
Russian ground control activated the jets and normal attitude of the station was regained.,"Russia masha ni gaw jet pyenli hpe ga kaw na gau mai hkra galaw sai, pyenli daru a myit masa lam hpe mi na hku bai lu la sai.",,,,
"The case was prosecuted in Virginia because it is the home to the leading internet service provider AOL, the company who instigated the charges.","Virginia kaw dai amu hpe tara jun ai lam galaw lai wa ai hpa majaw nga yang ndai gaw mungkan kumpyuta hkridun galaw lajang ya ai lam a ning shawng shapraw ai lam a nta re nga nna, tara jun na lam hpe kasu alun ya ai kampani mung rai nga ai.",,,,
"This is the first time a conviction has been gained using the legislation enacted in 2003 to curb bulk e-mail, aka spam, from unsolicited distribution into users mailboxes.","Ndai gaw laika pung jai lang ai ni hpang de nra sharawng ai lam shabra ai kaw na aka spam, law law hpa sa ai e-mail hpe shingdang na matu shaning 2003 na upadi tara jahkrat masat da ai lam hpe jai lang ai gaw shawng nnan lang na mara dam hpe lu hkam la sai re.",,,,
21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmeiras for a reported fee of £27 million.,"21 ning re ai Jesus gaw maning 2017 ning, January shata hta Brazilian club Palmeiras kaw na pru nna Manchester City de shabrai wan £27 hte shang wa sai.",,,,
"Since then, the Brazilian has featured in 53 matches for the club in all competitions and has scored 24 goals.","Dai ten kaw na, Brazil masha ni gaw shingjawng hpawng lamang shagu hta kalap mung a matu shingjawng lamang 53 lajang da nna shang ai bawlung htihkum 24 lu lai wa sai re.",,,,
Dr. Lee also expressed his concern about reports that children in Turkey have now become infected with the A(H5N1) avian influenza virus without becoming ill.,"Matut nna, tsi du Lee gaw Turkey mungdan na ma ni machyi makaw ai lam n nga ai sha A(H5N1) uli ana kanu shang hkrum ai lam hpe mung tsang nga ai lam sumtang kaw na tsun ai.",,,,
"Some studies suggest that the disease must become less lethal before it can cause a global epidemic, he noted.","Nkau hka ja la ai lam ni hpaji jaw ai gaw, shi ka matsing lai wa ai gaw mungkan ting kap bra ana hpe nlu shabyin shi ai shaloi ana zinli gaw si shangun lu ai lam yawm mat ra ai re.",,,,
There is concern that patients may continue to infect more people by going through their daily routines if the flu symptoms remain mild.,"Mak hkalawng ana kumla nau n madun shi yang, kaja machyi nga ai masha ni nchye ai a majaw kaga masha ni hpe hkan shakap ya na tsang nga ai.",,,,
"Leslie Aun, a spokesperson for the Komen Foundation, said the organization adopted a new rule that does not allow grants or funding to be awarded to organizations that are under legal investigation.","Leslie Aun ngu ai Komen Foundation a ga shaga ahkaw ahkang nga ai wa gaw shanhte a uhpung uhpawng hku nna tara masa npu e san jep hkrum ai hpung ni hpe karum gumhpraw shing nrai, gumhpraw htuk jaw na lam ni n galaw na ngu ai hkangda tara nnan galaw da sai ngu nna tsun ai.",,,,
Komen's policy disqualified Planned Parenthood due to a pending investigation on how Planned Parenthood spends and reports its money that is being conducted by Representative Cliff Stearns.,Masing nga Kanu kawa prat hpung a jai gumhpraw hpe Cliff Stearns Dak kasa hku na jai lang hparan da ai sumtang hte Masing nga Kanu kawa prat hpung gara hku gumhpraw lang da ai hpe sawk sagawn ai lam jahkring da hkrum ai majaw Komen a policy gaw Masing nga Kanu kawa prat hpung a matu rip kawp tara nshang ai.,,,,
"Stearns is investigating whether taxes are used to fund abortions through Planned Parenthood in his role as chairman of the Oversight and Investigations Subcommittee, which is under the umbrella of the House Energy and Commerce Committee.",Stearns gaw dat n-gun rung hte hpaga yumga komti hpung a npu kaw na re nga ai yu hpareng na lit hte sam jep sagawn na matu komti kasha a tingyang up hku shara hku nna ahkum hkangse ni hpe kanu kawa prat masing hku nna me ma shabrai ai lam hta lang nga nlang nga hpe jep jen nga ai re.,,,,
Former Massachusetts governor Mitt Romney won the Florida Republican Party presidential primary election on Tuesday with over 46 percent of the vote.,Massachusetts a up hkang du dingsa Mitt Romeny gaw Shanun ya shani hta Florida Republican Pati a tingnyang up lata ai lamang hta tsa lam shadang 46 hte me dang wa sai.,,,,
Former U.S. Speaker of the House Newt Gingrich came in second with 32 percent.,Galoi mung na U.S Rapdaw Tingnyang up Newt Gingrich gaw tsa lam shadang 32 hte nambat lahkawng kaw hkan ai.,,,,
"As a winner-takes-all state, Florida awarded all fifty of its delegates to Romney, pushing him ahead as the front-runner for the Republican Party nomination.","Dang ai wa mungdaw yawng la nga hte maren, Florida gaw Republikan Pati mying tang shawng lam a matu Romney hpe yawng a shawng hta woi awn na hku na, de a ahkang aya yawng manga shi ting hpe Romney hpang de shagrau sai.",,,,
"Organisers of the protest said about 100,000 people turned up in German cities such as Berlin, Cologne, Hamburg, and Hanover.","Ninghkap hpung a woi awn zinlum ai ni gaw 100,000 daram re masha ni gaw Berlin, Cologne, Hamburg hte Hanover zawn re Germani na mare kaba ni de nhtang gayin sa wa sai nga tsun ai.",,,,
"In Berlin, police estimated 6,500 protestors.","Berlin kaw pyada ni gaw ninghkap masha 6,500 daram nga na re ngu tak ma ai.",,,,
"Protests also took place in Paris, Sofia in Bulgaria, Vilnius in Lithuania, Valetta in Malta, Tallinn in Estonia, and Edinburgh and Glasgow in Scotland.","Paris, Bulgaria ga na Sofia, Lithuania ga na Vilnius, Malta ga na Valetta, Estonia ga na Tallinn hte Edinburgh hte Scotland ga na Glasgow ni kaw masha n-gun madun ninghkap ai lam ni galaw lai wa sai.",,,,
"In London, about 200 people protested outside some major copyright holders' offices.",London kaw masha 200 ram wa mi gaw madung laika hkrang madu ahkang tek jum ai masha ni a rung nta shinggan kaw masha n-gun madun ninghkap ai lam galaw wa sai re.,,,,
"Last month, there were major protests in Poland when that country signed ACTA, which has led to the Polish government deciding not to ratify the agreement, for now.","Lai wa sai shata hta, Polish mangdan aup ni gaw myit hkrum da ai lam hpe ngalaw ai, ACTA hpe seng htu wa ai hta Poland kaw myit nhkrum masha ni grai law wa ai.",,,,
Latvia and Slovakia have both delayed the process of joining ACTA.,Latvia hte Slovakia lahkawng yang gaw ACTA kaw shang ai lam hta hpang hkrat ma ai.,,,,
Animal Liberation and the Royal Society for the Prevention of Cruelty to Animals (RSPCA) are again calling for the mandatory installation of CCTV cameras in all Australian abattoirs.,Dusat Zingri Makawp na matu Dusat Shalawt hpung hte Royal Society (RSPCA) ni gaw Australian shan sat dap ni yawng hta CCTV camera ni shakap shagrin sa wa na matu kalang bai hpyi lajin nga ma ai.,,,,
RSPCA New South Wales chief inspector David O'Shannessy told the ABC that surveillance and inspections of abattoirs should be commonplace in Australia.,RSPCA Dingda Wales a jep maran ningbaw nnan David O'Shannessy ABC hpe tsun ai gaw jep maran ai lam ni hpe Australia mung ting kaw malawng nga ra ai.,,,,
The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.,Shanhte a nam dusat ni hpe tsaw dik ai hku madung da hkrum lu na matu dusat ni hte amu bungli galaw nga ai masha ni a matu CCTV kaw na atsawm sha yu maram lu na re.,,,,
The United States Geological Survey international earthquake map showed no earthquakes in Iceland in the week prior.,United State Lamu ga Shadawn Hpung mung shagu na nnang nawn lamu ga hta gaw ndai bat hta Iceland hta nnang nawm na lam madun da ai.,,,,
The Icelandic Meteorological Office also reported no earthquake activity in the Hekla area in the past 48 hours.,Iceland a lamu marang hte seng ai rung kaw na mung lai wa sai hkying hkum 48 hta Hekla kaw n-nang nawn ai lam n-nga lai wa ai lam hpe shiga shapraw lai wa sai re.,,,,
The significant earthquake activity resulting in the phase change had took place on March 10 on the northeast side of the volcano's summit caldera.,Alak mi re ai nnang nawn shamu ai byin yan shai wa ai mahtai gaw wan bum pungding matu na sinpraw dingdung maga hta shata man matsum 10 ya kaw byin hpang wa sai.,,,,
Dark clouds unrelated to any volcanic activity were reported at the base of the mountain.,Sum moi chyang ni gaw wan bum a majaw byin wa ai nre ngu hpe bum lagaw hpe yu nna masha ni tsun shana ma ai.,,,,
The clouds presented the potential for confusion as to whether an actual eruption had taken place.,Sum mwi ni gaw kaja wa wan bum kapaw wa na n kapaw na lam byin wa mai masa hpe tang madun ai re.,,,,
The Luno had 120–160 cubic metres of fuel aboard when it broke down and high winds and waves pushed it into the breakwater.,"Luno gaw daw mat ai, nbung grai bung ai hte dai hpe hka leng shinggang ganawng wa yang, sau cubic meter 120-160 nga ai.",,,,
Helicopters rescued the twelve crewmembers and the only injury was a broken nose.,"Ji grawng pyenli ni hte magam gun jahku hpe hkyen lu ai, hkala hkrum ai gaw ladi daw ai langai sha re.",,,,
The 100-metre ship was en route to pick up its usual fertiliser cargo and initially officials feared the vessel could spill a load.,Ndai mita 100 nga ai sanghpaw gaw shi a namhpun gunrai hpe sa htaw la ai lam kaw re majaw shawng shaloi e masha kaba ni gaw sanghpaw na wansau manu mana hkaw wa na hpe hkrit tsang ma ai.,,,,
The proposed amendment already passed both houses in 2011.,Rapdaw nta lahkawng yan gaw yaw shada ai garam lajang ai lam ni hpe shaning 2011 kaw shagrin da lai wa sai re.,,,,
A change was made this legislative session when the second sentence was deleted first by the House of Representatives and then was passed in a similar form by the Senate Monday.,Dai galai shai ai lam hpe House of Representative kaw na shawng luttaw lahkawng hpe chyhten ai kaw na tara galaw ai hpe galaw wa ai ngut nna luttaw kaw langai ya shani tha dai zawn laika hpe jaw wa ai.,,,,
"The failure of the second sentence, which proposes to ban same-sex civil unions, could possibly open the door for civil unions in the future.","Num, la shada hkungran hkat ai lam hpe pat na matu tsun ai ga yan nambat lahkawng n awng dang ai lam gaw htawm hpang de mung shawa pawng hpawm lam a matu ahkaw ahkang hpaw ya na lam byin wa chye ai.",,,,
"Following the process, HJR-3 will be reviewed again by the next elected legislature in either 2015 or 2016 to remain in process.","Lawu na bungli mahkrun hku nga yang, shaning 2015 shaning 2016 hpang e lata san tawn ai upadi ka lajang rapdaw kawn amu lam yan kata kaw naw matut nga taw na matu HJR-3 hpe bai jep maram yu ai lam bai galaw sa wa na re.",,,,
Vautier's achievements outside of directing include a hunger strike in 1973 against what he viewed as political censorship.,Dai hta lai nna Vautier na awng dang ai lam gaw mungdan lam hta pat ai ni hpe ginsat ai shaning 1973 hta malu shagam nna myit nhkrum lam madun ai ni lawm ai.,,,,
French law was changed. His activism went back to age 15 when he joined the French Resistance during World War II.,French ni a tara hpe galai shai kau sai. Shi a prat hpe bai yu yang shi gaw asak 15 hta World War II shaloi French tara galaw ai de shang wa ai.,,,,
He documented himself in a 1998 book.,Shaning 1998 laika buk kaw shi lam shi ka da ai re.,,,,
In the 1960s he headed back to newly-independent Algeria to teach film directing.,Shaning 1960 hta shi gaw shanglawt sai Algeria hpe sumla hkrung gayet ai lam hpe sharin na matu bai galaw wa ai.,,,,
"Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.","Olympic hta ja dazik lahkawng madu da ai wa, Japan masha Judoka Hitoshi Saito gaw asak 54 hta si mat ai.",,,,
The cause of death was announced as intrahepatic bile duct cancer.,Dai tsi I ni gaw intrahepatic cancer majaw ngu shana wa ai.,,,,
He died in Osaka on Tuesday.,Shi gaw Chanun shani hta Osaka hta asak si mat ai.,,,,
"As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.",Moi na Olympic hte Mungkan ningtawn ninghkrin wa rai nga ai Saito gaw shi si ai aten hta Japan Judo ginjaw hpaji shakat jawng kompti yawng a tingyang up galaw nga lai wa ai re.,,,,
"At least 100 people had attended the party, in order to celebrate the first anniversary of a couple whose wedding was held last year.",Lamang kaw masha shau htum latsa dang sa du shang lawm ma ai. Lai wa sai shaning hta hkungran lamang galaw ai yan la a laning mi ladu hkrum poi hpe shapyaw ya na matu du sa ai re ma ai.,,,,
"A formal anniversary event was scheduled for a later date, officials said.",Tara shang ladu hkrum nhtoi lamang hpe du wa aten ladaw langai hta matsat da lam tara sha sharna sai re.,,,,
The couple had married in Texas one year ago and came to Buffalo to celebrate with friends and relatives.,Dai yan la gaw lai wa sai laning mi shaloi Texas mungdaw hta hkungran ga shaka la da sai rai nna manaw manang ni jinghku ni hte arau poi galaw na matu Buffalo de sa wa ai re.,,,,
"The 30-year-old husband, who was born in Buffalo, was one of the four killed in the shooting, but his wife was not hurt.","Buffalo kaw shangai ai, asak 30 rai sai madu wa gaw sanat hkra na tsi ai mali kaw na langai re, raitim shi madu jan gaw hpa nbyin ai.",,,,
"Karno is a well-known but controversial English tutor who taught under Modern Education and King's Glory who claimed to have 9,000 students at the peak of his career.","Karno gaw grai mying kaba ai, raitim tsun na yak ai Ingalik sharin sara re, shi gaw shi prat a awngdang dik shara du hkra jawngma 9,000 ram ra ai King's Glory hte Prat dep Hpaji ngu ai hpe sharin ai wa re.",,,,
"In his notes he used words which some parents considered coarse, and he reportedly used profanity in class.",Shi na matsing laika kaw nkau kanu kawa ni gaw kahtak ai hku myit shalawm ya ai ngu ga si ni hte jawng gak kata masai marai ga si ni ka lai wa ai ngu ka matsing da ai.,,,,
Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.,Prat dep hpaji hpung gaw shi gaw Inglik sharin sara kaba re nga masu hkawm ai hte ahkang nlu ai sha shawa jawn mawdaw kaba hkan shi bungli ndau laika hkan shakap hkawm ai majaw tara jun da ma ai.,,,,
"He has also been accused previously of copyright infringement, but was not charged.","Shi hpe mung ndai laman laika hkrang madu ahkang tawt lai ai wa hku mara madi shagun da ai, raitim tara gaw njun ma ai.",,,,
"A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'","Lai wa sai jawng ma tsun ai gaw shanhte gaw laika sharing gawk kaw nkaja ai nga lang ai, laika buk kaw na shani ni hpe sharin ai, ngut nna jawng ma manang ni zawn re.",,,,
"During the last three decades, despite officially remaining a communist state, China has developed a market economy.","Hpang jahtum sumshi ning lapran hkan gaw, kummyunit mungdan hku tara shang ngam nga ai hpang, Miwa gaw sut masa hpe gaw sharawt lai wa sai.",,,,
The first economic reforms were made under the leadership of Deng Xiaoping.,Alat ningshawn na sut masa garam ai lam hpe gaw Deng Xiaoping wa ningbaw galaw ai kata kaw galaw lai wa sai re.,,,,
"Since then, China's economic size has grown by 90 times.","Dai aten kaw na, myuwa hpaga gaw 90 lang daram kaba wa ai.",,,,
"For the first time, last year China exported more cars than Germany and surpassed the United States as the biggest market for this industry.","Shawng nnan lang a matu, lai wa sai shaning hta Miwa gaw Germany hta grau nna mawdaw ni hpe maigan de shapraw ya ai lam galaw lai wa nna ndai jak magam bungli a kaba htum ai gat lawk hku nna United States hpe lai kau da sai re.",,,,
China's GDP could be larger than the United States within two decades.,Shaning hkun ning daram hta Miwa a GDP gaw United States na hta grau law wa chye ai re.,,,,
"Tropical Storm Danielle, fourth named storm of the 2010 Atlantic hurricane season, has formed in the eastern Atlantic Ocean.",Shaning 2010 na Atlantic laru shata kaw Kahtet mungkan daw hte seng ai nbung laru ngu mying ai nbung laru gaw Alantic pang lai a sinpraw hkran maga de byin lai wa sai re.,,,,
"The storm, located approximately 3,000 miles from Miami, Florida, has maximum sustained winds of 40 mph (64 kph).","Dai nbung laru gaw Florida, Maimi kaw na deng 3,000 daram tsan nna yawm dik nbung bung shadang 40 mph (64 kph) nga ai.",,,,
Scientists at the National Hurricane Center predict that Danielle will strengthen to a hurricane by Wednesday.,Amyu sha nbung laru ginjaw kaw na hpung tang hpaji ninghkring ni shadu ai gaw Danielle gaw bat hpang masum ya hta nbung laru langai byin wa na matu n-gun shaja dat ya na re.,,,,
"As the storm is far from landfall, it remains difficult to assess potential impact to the United States or Caribbean.",Dai nbung laru gaw ga galapran taw ai hte tsan taw ai majaw shi gaw United State dai nrai Caribbean de shang na amtu yak taw ai re.,,,,
"Born in the Croatian capital, Zagreb, Bobek gained fame while playing for Partizan Belgrade.","Croatia a muklum, Zagreb kaw shangai ai, Bobek gaw Partizan Belgrade a matu gasup ai kaw na mying kaba wa ai.",,,,
He joined them in 1945 and stayed until 1958.,Shi gaw shanhte hte 1945 hta ta gin dun nna 1958 du hkra rau nga lai wa sai.,,,,
"During his time with the team, he scored 403 goals in 468 appearances.","Shi a ginsup hpung hte rau re ai shaloi gaw, 468 lang ginsup ai kaw na goal 403 lu htawng bang da lu ai.",,,,
No one else has ever made more appearances or scored more goals for the club than Bobek.,Bobek hta lai nna dai uhpung a matu kadai mung goal nlu galaw ai dai nrai mying nkaba ya ai.,,,,
In 1995 he was voted the best player in Partizan's history.,1995 hta shi hpe Partizan a labau hta ningtawn dik ginsup masha langai hku na lata da sai.,,,,
The celebrations started with a special show by the world-renowned group Cirque du Soleil.,Shakawn shagrau lamang hpe mungkan ting mying gumhkawng ai uhpung Cirque du Soleil ni a alak mi re ai madun ai lamang hte hpang lai wa sai re.,,,,
"It was followed by the Istanbul State Symphony Orchestra, a Janissary band, and the singers Fatih Erkoç and Müslüm Gürses.","De a hpang kaw gaw Istanbul mungdaw a Symphony madum sumpyi hpung, Janissary dum sumpyi hpung hte mahkawn ninghkring Fatih Erkoç hte Müslüm Gürses ni rai nga ai.",,,,
Then Whirling Dervishes took to the stage.,Dai hpang Whirling Dervishes hpung ni gaw pyinra ntsa shara la mat ai.,,,,
Turkish diva Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou.,Turkish diva Sezen Aksu gaw Italy Alessandro Safina hte Greek kaw na yung ngoi ning hkring Haris Alexiou hpe hkrang shala ai.,,,,
"To finish, Turkish dance group Fire of Anatolia performed the show ""Troy"".","Shangut shakre na matu, Anatolia a wan ngu mying ai Turkish ka uhpung ni gaw ""Troy"" madun dan ai lam hpe hkrang shala lai wa sai re.",,,,
"Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway.","Peter Lenz, asak 13 re ai sengke shingjawng ai wa gaw Indianapolis sengke jawn lam kaw adawt hkrum ai kaw lawm nna si mat ai.",,,,
"While on his warm-up lap, Lenz fell off his bike, and was then struck by fellow racer Xavier Zayat.","Shi sai shalum ginsup taw ai laman e Lenz gaw shi a lagaw leng ntsa kaw na di hkrat mat ai, ngut na shi hte arau shingjawng ai wa Xavier Zayat hte adawt hkrup ai.",,,,
He was immediately attended to by the on-track medical staff and transported to a local hospital where he later died.,"Shi gaw kalang ta lam ntsa na tsi magam gun e gawn lajang ai lam hkrum nna, hpang e shi si mat ai shara, buga tsi rung de htaw sa da hkrum ai re.",,,,
Zayat was unhurt in the accident.,Ndai mabyin hta Zayat gaw hkala nba nhkrum lai wa ai re.,,,,
"Regarding the global financial situation, Zapatero continued by saying that ""the financial system is a part of the economy, a crucial part.","Mungkan ting a sut masa hpe mahta nna Zapatero matut tsun ai gaw ""sut gumhpraw hte seng ai gawda hkrang gaw sut lu nga mai lam a ahkyak dik ai daw langai mi rai nga ai.",,,,
"We have a year-long financial crisis, which has had its most acute moment in the past two months, and I think now the financial markets are beginning to recover.""","Anhte hta shaning tup na ja gumhpraw ginchyum chyat mat wa ai, lai wa sai shata lahkawng hta gaw grau nna laja lana sawng mat ai, dai hpang de she ngai shadu ai, ja gumhpraw gat lawk ni bai kaja hpang wa ai.""",,,,
"Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.",Lai sai bat hta Naked Shiga dap kaw na shanhte gaw gau ngwi ngwi hte shanhte a shi shana dap nnan masum hte rau shiga ni hpe mungkan ga gada hte seng ai aga ni hte shapoi sa na matu masing jahkrat masat sa wa mai ai lam ndau shana dat ai.,,,,
"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.","English hte Japan hku gaw mi kaw na shiga shapoi taw sai re nna mungkan ting hte seng ai uhpung uhpawng ni gaw Spain ga, Italy ga, Korea ga lamang ni hpe hkrangmu shiga, internet laika man ni hte gun hkawm mai ai jak ni a matu shabra hpang taw sai re.",,,,
"Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.","Gam kaja ai majaw ngai kaw hpa nbyin ai, raitim si mat sai masha ni wa shinggan de lu le na matu hku wawt ni hpe adup ga taw ai lam hpe shingran pra pra mu ai.",,,,
"People were hitting the panes with chairs, but the windows were unbreakable.",Masha ni gaw hkuwawt pat maka hpe lahkum hte gayet ma timung hkuwawt chyinghka ni gaw daw hten ai lam nnga ai.,,,,
"One of the panes finally broke, and they started to get out by the window, said survivor Franciszek Kowal.","Hpang jahtum hta pat langai ga mat nna shanhte ni gaw hku wawt kaw nna le hpang wa masai, ngu nna asak lawt wa ai Franciszek Kowal tsun lai wa ai re.",,,,
Stars give off light and heat because of the energy made when hydrogen atoms are merged (or fused) together to form heavier elements.,Hydrogen atom ni gaw grai li ai nhprang jet ni hpe hkrang shapraw na matu rau sha majaw (sh gahkying) mat ai shaloi shagan ni gaw tsam n-gun na majaw nhtoi hte kahtet ai hpe shapru ai.,,,,
Scientists are working to create a reactor that can make energy in the same way.,Hpungtang hpaji ninghkring ni gaw tsam n-gun hpe bung ai lam hku na lu galaw ai nuclear bunghkrawng langai hpe shapraw na matu galaw taw nga ma ai.,,,,
"This, however, is a very hard problem to solve and will take many years before we see useful fusion reactors built.","Kaning rai timung, ndai manghkang gaw loi loi hte hparan mai ai manghkang nrai nga ai. Kaja nan akyu rawng ai shingja dat kabaw bunghkrawng hpe mu lu na matu gaw shaning loi naw na na re.",,,,
The steel needle floats on top of the water because of surface tension.,Dai hpri sumri gaw hka ntsa kaw nga taw ai re hpa majaw nga yang hka gaw lagi ja taw na re.,,,,
Surface tension happens because the water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.,Hka ntsa man na hka molecule ni a majaw ntsa man ja dingkang lam byin ai gaw de lahta na nbung molecule ni hta langai hte langai ngang ngang matut da ai lam a majaw re.,,,,
